Crop,crop 1,crop2 ,crop3
rice,Blueberries,Potatoes,Radishes
maize,Cabbage,Beans,Spinach
chickpea,Tomatoes,Cucumbers,Beans
kidneybeans,Garlic,Cauliflower,Broccoli
pigeonpeas,Broccoli,Kale,Garlic
mothbeans,Turnips,Cabbage,Radishes
mungbean,Beans,Cabbage,Radishes
blackgram,Azaleas,Potatoes,Cranberries
lentil,Rhubarb,Broccoli,Cabbage
pomegranate,Camellias,Basil,Rhubarb
banana,Sweet patato,Peppers,Beets
mango,Tea,Cardamom,Coffee
grapes,Cashew,Pineapple,Turmeric
watermelon,Sugarcane,Rice,Cotton
muskmelon,Sugarcane,Rice,Cotton
apple,Soybean,Groundnut,Areca Nut 
orange,Rubber,Lemon,petnusias
papaya,Wheat,Maize,Sorghum
coconut,Rubber,Banana,Cardamom
cotton,Tea,Coffee,Pepper
jute,Rubber,Coconut,ArecaNuts
coffee,Black peper,Grapefruit,cardamom
